"","Type_I_error","Average_power","QTN1_power","QTN2_power","QTN3_power","QTN4_power"
"Y1_2",0.000385885885885886,0.658,0.974,0.792,0.5,0.366
"Y2_2",0.00137937937937938,0.6355,0.948,0.778,0.47,0.346
"Y3_2",0.00138488488488488,0.653,0.948,0.804,0.5,0.36
"Y1_5",2.37737737737738e-05,0.7325,0.995,0.925,0.605,0.405
"Y2_5",0.000362862862862863,0.70875,0.99,0.845,0.54,0.46
"Y3_5",0.000444194194194194,0.69875,0.985,0.845,0.54,0.425
"Y1_10",7.50750750750751e-06,0.6625,1,1,0.47,0.18
"Y2_10",0.00018018018018018,0.7225,1,0.89,0.6,0.4
"Y3_10",0.000187687687687688,0.7225,1,0.88,0.61,0.4
